resource_const,action_class,action_const,superclass,auth,auth_effective,classification,http_method,blocking,route,file,line_start,line_end
VpsAdmin::API::Resources::DnsZoneTransfer,Show,VpsAdmin::API::Resources::DnsZoneTransfer::Show,HaveAPI::Actions::Default::Show,,True,owner_or_admin,,,,api/lib/vpsadmin/api/resources/dns_zone_transfer.rb,56,76
VpsAdmin::API::Resources::DnssecRecord,Index,VpsAdmin::API::Resources::DnssecRecord::Index,HaveAPI::Actions::Default::Index,,True,owner_or_admin,,,,api/lib/vpsadmin/api/resources/dnssec_record.rb,19,54
VpsAdmin::API::Resources::DnssecRecord,Show,VpsAdmin::API::Resources::DnssecRecord::Show,HaveAPI::Actions::Default::Show,,True,owner_or_admin,,,,api/lib/vpsadmin/api/resources/dnssec_record.rb,56,76
VpsAdmin::API::Resources::Environment,Create,VpsAdmin::API::Resources::Environment::Create,HaveAPI::Actions::Default::Create,,True,admin_only,,,,api/lib/vpsadmin/api/resources/environment.rb,102,137
VpsAdmin::API::Resources::Environment,Index,VpsAdmin::API::Resources::Environment::Index,HaveAPI::Actions::Default::Index,,True,authenticated,,,,api/lib/vpsadmin/api/resources/environment.rb,27,100
VpsAdmin::API::Resources::Environment,Show,VpsAdmin::API::Resources::Environment::Show,HaveAPI::Actions::Default::Show,,True,authenticated,,,,api/lib/vpsadmin/api/resources/environment.rb,139,165
VpsAdmin::API::Resources::Environment,Update,VpsAdmin::API::Resources::Environment::Update,HaveAPI::Actions::Default::Update,,True,admin_only,,,,api/lib/vpsadmin/api/resources/environment.rb,167,200
VpsAdmin::API::Resources::Environment::DatasetPlan,Index,VpsAdmin::API::Resources::Environment::DatasetPlan::Index,HaveAPI::Actions::Default::Index,,True,authenticated,,,,api/lib/vpsadmin/api/resources/environment.rb,244,270
VpsAdmin::API::Resources::Environment::DatasetPlan,Show,VpsAdmin::API::Resources::Environment::DatasetPlan::Show,HaveAPI::Actions::Default::Show,,True,authenticated,,,,api/lib/vpsadmin/api/resources/environment.rb,272,290
VpsAdmin::API::Resources::Export,Create,VpsAdmin::API::Resources::Export::Create,HaveAPI::Actions::Default::Create,,True,authenticated,,True,,api/lib/vpsadmin/api/resources/export.rb,99,155
